ID,Brand
,AENO
,Ardesto
,Ariete
,Ariston
,Aspiring
,Atlantic
,Babyliss
,Bager
,Beko
,Beurer
,Biol
,Blaupunkt
,Bohemia
,Bonjour
,Borgio
,Bosch
,Braun
,Brizoll
,Candy
,Daewoo
,Deerma
,Delonghi
,Dreame
,Dyson
,Electrolux
,ELEYUS
,Elica
,Enchen
,Ergo
,Esperanza
,Fiskars
,FLORINA
,Gorenje
,GREE
,Greta
,Grifon
,Grunhelm
,Gusto
,Haier
,Hansa
,Helfer
,HILTON
,Hisense
,Holmer
,Hotpoint-Ariston
,Huawei
,Indesit
,Interline
,Interlux
,INTERLUX
,JVC
,Karcher
,Kivi
,Krauff
,Krups
,Kumtel
,Laifen
,LARETTI
,LG
,Liberton
,Liberty
,Liberty`s
,Liebherr
,Limited Edition
,Luminarc
,Martex
,Maxmark
,Midea
,Milano
,Moulinex
,MPM
,Mystery
,Neor
,Ninja
,Nokia
,NUTRIBULLET
,Oclean
,Oral-B
,Ozone
,Panasonic
,Pecham
,Philips
,PowerPlant
,Pyramida
,Pyrex
,Remington
,Ritter
,RoboRock
,Roda
,Rowenta
,Russell Hobbs
,Saeco
,Samsung
,Saturn
,Scandilux
,Scandix
,Sencor
,Shark
,Siemens
,Simax
,Skyworth
,Sola
,Sony
,SUMATO
,TCL
,Tefal
,Tesla
,Thomas
,Tramontina
,Trio
,UFO
,Vestfrost
,VIOLET HOUSE
,Vittora
,Well Done
,WetAir
,Whirlpool
,WMF
,Xiaomi
,Zanussi
,Zelmer
,Zilan
,Zojirushi
